ticker
SPY
ARGT
COlO
GREK
NORW
VNAM
EWA
EWO
EWK
EWC
ECH
MCHI
EDEN
EFNL
EWQ
EWG
EWH
INDA
EIDO
EIRL
EWI
EWJ
KWT
EWM
EWW
EWN
ENZL
EPU
EPHE
EPOL
QAT
KSA
EWS
EZA
EWY
EWP
EWD
EWL
EWT
THD
TUR
UAE
EWU
EWZ

